ticker|returnOnEquity|returnOnAssets|payoutRatio|PE|debtToEquity|growthRate|ggmReturn|div10YReturn|rdpReturn
ABUS|-0.7885|-0.2505|0.0000|-4.1705|3.1960|-0.7885|-0.7885|-0.7885|-1.0000|-0.7885
AC|-0.0220|-0.0074|0.0000|12.6100|0.0000|-0.0220|-0.0220|-0.0220|-0.0264|-0.0220
ACA|0.0643|0.0440|0.0833|23.9234|15.0190|0.0589|0.0624|0.0624|-0.0009|0.0626
ACAC|0.0000|0.0000|0.0000|99999.0000|3119.4040|0.0000|0.0000|0.0000|-0.0338|0.0000
ACACU|0.0000|0.0000|0.0000|99999.0000|3119.4040|0.0000|0.0000|0.0000|-0.0338|0.0000
ACAD|-0.3986|-0.1786|0.0000|-47.1810|7.5130|-0.3986|-0.3986|-0.3986|-1.0000|-0.3985
ACB|-1.0328|-0.0671|0.0000|54.1667|23.5400|-1.0328|-1.0328|-1.0328|0.0000|-1.0328
ACBI|0.0678|0.0069|0.0000|17.3048|0.0000|0.0678|0.0678|0.0678|0.0328|0.0678
ACC|0.0210|0.0130|3.7600|83.0000|127.0380|-0.0581|-0.0128|-0.0128|-0.1227|-0.0154
ACCD|-0.2690|-0.0994|0.0000|99999.0000|0.0000|-0.2690|-0.2690|-0.2690|-0.6783|-0.2690
ACCO|0.1015|0.0351|0.3333|10.5303|139.0790|0.0677|0.0993|0.0993|0.0988|0.1014
ACEL|-0.2075|-0.0122|0.0000|99999.0000|220.9370|-0.2075|-0.2075|-0.2075|-0.6512|-0.2075
ACER|-1.3069|-0.6668|0.0000|-2.2970|9.4780|-1.3069|-1.3069|-1.3069|-1.0000|-1.3069
ACET|0.0000|0.0000|0.0000|-3.6716|0.0000|0.0000|0.0000|0.0000|-1.0000|0.0000
ACEV|0.0000|0.0000|0.0000|99999.0000|0.0000|0.0000|0.0000|0.0000|-0.0338|0.0000
ACEVU|0.0000|0.0000|0.0000|99999.0000|0.0000|0.0000|0.0000|0.0000|-0.0338|0.0000
ACGL|0.0931|0.0239|0.0000|11.4845|23.6340|0.0931|0.0931|0.0931|0.0931|0.0931
ACGLO|0.0931|0.0239|0.0000|9.5866|23.6340|0.0931|0.0931|0.0931|0.0931|0.0931
ACGLP|0.0931|0.0239|0.0000|9.2739|23.6340|0.0931|0.0931|0.0931|0.0931|0.0931
ACH|0.0138|0.0166|0.0000|24.3385|129.7410|0.0138|0.0138|0.0138|-0.0494|0.0137
ACHC|0.0403|0.0356|0.0000|44.9162|138.1310|0.0403|0.0403|0.0403|-0.0773|0.0403
ACHV|-0.7807|-0.4231|0.0000|-2.1849|0.8260|-0.7807|-0.7807|-0.7807|-1.0000|-0.7807
ACI|0.3946|0.0660|0.0588|99999.0000|488.8760|0.3714|0.3714|0.3714|-0.3962|0.3714
ACIA|0.1132|0.0415|0.0000|71.4572|3.5440|0.1132|0.1132|0.1132|-0.0534|0.1132
ACIC|0.0000|0.0000|0.0000|99999.0000|1337.3750|0.0000|0.0000|0.0000|-0.0338|0.0000
ACIU|-0.2354|-0.1325|0.0000|-10.7544|0.9610|-0.2354|-0.2354|-0.2354|-1.0000|-0.2354
ACIW|0.0559|0.0341|0.0000|74.2720|119.1210|0.0559|0.0559|0.0559|-0.1053|0.0559
ACKIU|0.0000|0.0000|0.0000|99999.0000|0.0000|0.0000|0.0000|0.0000|-0.0338|0.0000
ACLS|0.1037|0.0638|0.0000|27.3939|11.4800|0.1037|0.1037|0.1037|0.0239|0.1037
ACM|0.0511|0.0237|0.0000|16.4919|87.1730|0.0511|0.0511|0.0511|0.0212|0.0511
ACMR|0.1080|0.0522|0.0000|136.0979|17.2480|0.1080|0.1080|0.1080|-0.1115|0.1080
ACN|0.3134|0.1161|0.4039|30.6918|18.6090|0.1868|0.2000|0.2000|0.1111|0.2024
ACNB|0.0742|0.0077|0.4902|12.7906|0.0000|0.0378|0.0761|0.0761|0.0695|0.0776
ACND|0.0000|0.0000|0.0000|99999.0000|0.0000|0.0000|0.0000|0.0000|-0.0338|0.0000
ACOR|0.1651|-0.0637|0.0000|1.1252|81.7430|0.1651|0.1651|0.1651|0.1651|0.1651
ACP|0.0000|0.0000|0.0000|99999.0000|0.0000|0.0000|0.0000|0.0000|-0.0338|0.0000
ACRE|0.0382|0.0094|2.4444|22.1333|310.4860|-0.0552|0.0553|0.0553|0.0161|0.0492
ACRS|-0.9046|-0.2772|0.0000|-20.1237|34.9780|-0.9046|-0.9046|-0.9046|-1.0000|-0.9046
ACRX|0.0000|-0.3411|0.0000|-10.7143|0.0000|0.0000|0.0000|0.0000|-1.0000|0.0000
ACST|-1.6609|-0.5255|0.0000|-1.9843|1.3410|-1.6609|-1.6609|-1.6609|-1.0000|-1.6609
ACTC|0.0000|0.0000|0.0000|99999.0000|3.0720|0.0000|0.0000|0.0000|-0.0338|0.0000
ACTCU|0.0000|0.0000|0.0000|99999.0000|3.0720|0.0000|0.0000|0.0000|-0.0338|0.0000
ACTG|0.1641|-0.0418|0.0000|17.5776|48.5570|0.1641|0.1641|0.1641|0.1244|0.1641
ACV|0.0000|0.0000|0.3461|99999.0000|0.0000|0.0000|0.0000|0.0000|-0.5590|0.0000
ADAP|-0.4690|-0.2296|0.0000|-5.7684|6.3020|-0.4690|-0.4690|-0.4690|-1.0000|-0.4690
ADBE|0.4421|0.1176|0.0000|42.9982|35.4950|0.4421|0.4421|0.4421|0.2842|0.4421
ADC|0.0484|0.0252|1.2880|34.9592|52.1140|-0.0139|0.0229|0.0229|-0.0532|0.0224
ADCT|0.0000|0.0000|0.0000|99999.0000|10.6590|0.0000|0.0000|0.0000|-0.0338|0.0000
ADERU|0.0000|0.0000|0.0000|99999.0000|0.0000|0.0000|0.0000|0.0000|-0.0338|0.0000
ADES|-0.1214|-0.0416|0.9615|1.1959|35.3830|-0.0047|0.7994|0.7994|0.7946|0.7956
ADI|0.1030|0.0458|0.7317|45.4909|47.4090|0.0276|0.0437|0.0437|-0.0625|0.0442
ADIL|-1.1991|-0.6749|0.0000|-3.3594|0.0000|-1.1991|-1.1991|-1.1991|-1.0000|-1.1991
ADM|0.0905|0.0286|0.4571|16.2091|49.4080|0.0491|0.0773|0.0773|0.0516|0.0787
ADMA|-1.2448|-0.2117|0.0000|-4.7174|140.3560|-1.2448|-1.2448|-1.2448|-1.0000|-1.2448
ADMP|-1.0254|-0.3761|0.0000|-8.7500|25.1080|-1.0254|-1.0254|-1.0254|-1.0000|-1.0254
ADMS|0.0000|-0.1869|0.0000|-4.3306|0.0000|0.0000|0.0000|0.0000|-1.0000|0.0000
ADNT|-0.2546|0.0021|0.0000|7.4795|294.4870|-0.2546|-0.2546|-0.2546|-0.2546|-0.2546
ADOC|0.0000|0.0000|0.0000|99999.0000|994.6230|0.0000|0.0000|0.0000|-0.0338|0.0000
ADOCR|0.0000|0.0000|0.0000|99999.0000|994.6230|0.0000|0.0000|0.0000|-0.0338|0.0000
ADP|0.4452|0.0517|0.6343|28.9446|41.6740|0.1628|0.1847|0.1847|0.1073|0.1883
ADPT|-0.1797|-0.0824|0.0000|-49.6522|5.9780|-0.1797|-0.1797|-0.1797|-1.0000|-0.1797
ADS|0.2356|0.0151|0.2403|11.2633|1330.2360|0.1790|0.2003|0.2003|0.2020|0.2041
ADSK|0.0000|0.0681|0.0000|147.4170|3028.7160|0.0000|0.0000|0.0000|-0.0000|0.0000
ADT|-0.1729|0.0073|0.0000|8.1610|324.9650|-0.1729|-0.1729|-0.1729|-0.1729|-0.1729
ADTN|-0.0402|-0.0172|0.0000|40.6977|1.4930|-0.0402|-0.0402|-0.0402|-0.1410|-0.0402
ADTX|-0.9850|-0.4213|0.0000|99999.0000|8.6710|-0.9850|-0.9850|-0.9850|0.0000|-0.9850
ADUS|0.0725|0.0502|0.0000|51.2185|20.4270|0.0725|0.0725|0.0725|-0.0601|0.0725
ADV|0.0000|0.0000|0.0000|99999.0000|201.2370|0.0000|0.0000|0.0000|-0.0338|0.0000
ADVM|-0.3142|-0.1774|0.0000|-8.8273|6.7110|-0.3142|-0.3142|-0.3142|-1.0000|-0.3142
ADX|0.0672|0.0073|0.1736|14.9485|0.0000|0.0555|0.0671|0.0671|0.0469|0.0678
ADXN|-0.6973|-0.3254|0.0000|99999.0000|1.7080|-0.6973|-0.6973|-0.6973|0.0000|-0.6973
ADXS|-0.7594|-0.3530|0.0000|-1.2693|19.9370|-0.7594|-0.7594|-0.7594|-1.0000|-0.7594
AEACU|0.0000|0.0000|0.0000|99999.0000|0.0000|0.0000|0.0000|0.0000|-0.0338|0.0000
AEE|0.1017|0.0291|0.5789|21.5922|125.1420|0.0428|0.0696|0.0696|0.0213|0.0708
AEG|0.0370|0.0015|0.3578|3.8095|43.7900|0.0238|0.1177|0.1177|0.1144|0.1199
AEGN|-0.0919|0.0373|0.0000|16.0513|74.6660|-0.0919|-0.0919|-0.0919|-0.1156|-0.0919
AEHL|0.5692|0.1378|0.0000|99999.0000|59.6090|0.5692|0.5692|0.5692|-0.3094|0.5692
AEHR|-0.3362|-0.1961|0.0000|24.4000|34.7020|-0.3362|-0.3362|-0.3362|-0.0000|-0.3362
AEIS|0.1452|0.0655|0.0000|40.0112|57.8360|0.1452|0.1452|0.1452|0.0265|0.1452
AEL|0.1723|0.0103|0.0319|3.1510|9.3740|0.1668|0.1770|0.1770|0.1776|0.1787
AEM|0.1243|0.0801|0.2925|26.3816|30.6720|0.0879|0.0990|0.0990|0.0282|0.1000
AEMD|-0.8521|-0.4471|0.0000|-3.3810|0.6820|-0.8521|-0.8521|-0.8521|-1.0000|-0.8521
AENZ|-0.4015|-0.0170|0.0000|99999.0000|104.0330|-0.4015|-0.4015|-0.4015|0.0000|-0.4015
AEO|-0.1787|-0.0030|0.0000|16.7883|174.5140|-0.1787|-0.1787|-0.1787|0.0000|-0.1787
AEP|0.0941|0.0245|0.7254|20.8597|161.8210|0.0258|0.0606|0.0606|0.0167|0.0615
AEPPZ|0.0941|0.0245|0.0000|99999.0000|161.8210|0.0941|0.0941|0.0941|-0.5185|0.0941
AER|-0.0011|0.0354|0.0000|7.2301|352.7560|-0.0011|-0.0011|-0.0011|-0.0011|-0.0011
AERI|-1.4261|-0.2513|0.0000|-7.4357|367.3230|-1.4261|-1.4261|-1.4261|-1.0000|-1.4261
AES|-0.0777|0.0399|0.0000|15.7372|516.4770|-0.0777|-0.0777|-0.0777|-0.1001|-0.0777
AESE|-0.6833|-0.1775|0.0000|-12.1250|17.2770|-0.6833|-0.6833|-0.6833|-1.0000|-0.6833
AEY|-0.7811|-0.1670|0.0000|99999.0000|84.4440|-0.7811|-0.7811|-0.7811|-0.7812|-0.7811
AEYE|-0.9849|-0.2466|0.0000|-39.5323|25.0900|-0.9849|-0.9849|-0.9849|-1.0000|-0.9849
AEZS|-0.7430|-0.1618|0.0000|0.4090|1.3270|-0.7430|-0.7430|-0.7430|0.0000|-0.7430
AFB|0.0196|0.0191|1.9814|48.9527|60.0790|-0.0192|0.0213|0.0213|-0.0713|0.0205
AFBI|0.0252|0.0033|0.0000|99999.0000|0.0000|0.0252|0.0252|0.0252|-0.5488|0.0252
AFC|0.0000|0.0000|0.0000|99999.0000|0.0000|0.0000|0.0000|0.0000|-0.0338|0.0000
AFG|0.0344|0.0059|0.6545|33.7248|55.8200|0.0119|0.0313|0.0313|-0.0508|0.0315
AFGD|0.0000|0.0000|0.0000|99999.0000|0.0000|0.0000|0.0000|0.0000|-0.0338|0.0000
AFGE|0.0000|0.0000|0.0000|99999.0000|0.0000|0.0000|0.0000|0.0000|-0.0338|0.0000
AFI|-0.2144|-0.0589|0.0000|-4.9000|30.9100|-0.2144|-0.2144|-0.2144|-1.0000|-0.2144
AFIB|0.0000|0.0000|0.0000|99999.0000|26.8820|0.0000|0.0000|0.0000|-0.0338|0.0000
AFIN|-0.0173|0.0088|0.0000|-31.4375|112.6450|-0.0173|-0.0173|-0.0173|-1.0000|-0.0173
AFINO|-0.0173|0.0088|0.0000|99999.0000|112.6450|-0.0173|-0.0173|-0.0173|-0.0000|-0.0173
AFINP|-0.0173|0.0088|0.0000|99999.0000|112.6450|-0.0173|-0.0173|-0.0173|-0.0000|-0.0173
AFL|0.1488|0.0168|0.1743|7.2550|28.6950|0.1229|0.1469|0.1469|0.1477|0.1498
AFMD|-1.1404|-0.2294|0.0000|-14.2927|5.0790|-1.1404|-1.1404|-1.1404|-1.0000|-1.1404
AFRM|0.0000|0.0000|0.0000|99999.0000|124.5100|0.0000|0.0000|0.0000|-0.0338|0.0000
AFT|-0.0655|0.0301|0.0000|99999.0000|52.7190|-0.0655|-0.0655|-0.0655|-0.5887|-0.0655
AFYA|0.1245|0.0597|0.0000|5.5499|23.5020|0.1245|0.1245|0.1245|0.1245|0.1245
AG|-0.0698|0.0050|0.0000|240.8571|21.0010|-0.0698|-0.0698|-0.0698|-0.2918|-0.0698
AGBA|0.0000|0.0000|0.0000|99999.0000|23.5000|0.0000|0.0000|0.0000|-0.0338|0.0000
AGBAU|0.0000|0.0000|0.0000|99999.0000|23.5000|0.0000|0.0000|0.0000|-0.0338|0.0000
AGC|0.0000|0.0000|0.0000|99999.0000|890.6000|0.0000|0.0000|0.0000|-0.0338|0.0000
AGCB|0.0000|0.0000|0.0000|99999.0000|0.0000|0.0000|0.0000|0.0000|-0.0338|0.0000
AGCO|0.0662|0.0446|0.2353|41.9046|61.8020|0.0506|0.0562|0.0562|-0.0529|0.0565
AGCUU|0.0000|0.0000|0.0000|99999.0000|890.6000|0.0000|0.0000|0.0000|-0.0338|0.0000
AGD|-0.0185|0.0409|0.0000|99999.0000|0.0000|-0.0185|-0.0185|-0.0185|-0.0000|-0.0185
AGEN|0.0000|-0.3478|0.0000|-3.4623|0.0000|0.0000|0.0000|0.0000|-1.0000|0.0000
AGFS|-0.1906|0.0180|0.0000|-6.9643|65.6290|-0.1906|-0.1906|-0.1906|-1.0000|-0.1906
AGFY|0.0000|0.0000|0.0000|99999.0000|135.9970|0.0000|0.0000|0.0000|-0.0338|0.0000
AGI|0.0388|0.0350|0.2115|30.9615|3.6290|0.0306|0.0374|0.0374|-0.0448|0.0376
AGIO|-0.7151|-0.2564|0.0000|-8.0998|22.3330|-0.7151|-0.7151|-0.7151|-1.0000|-0.7151
AGLE|-0.7375|-0.3940|0.0000|-5.1212|3.9460|-0.7375|-0.7375|-0.7375|-1.0000|-0.7375
AGM|0.1267|0.0047|0.3762|9.3240|2463.5010|0.0790|0.1194|0.1194|0.1193|0.1226
AGMH|-0.2028|-0.0657|0.0000|99999.0000|4.9230|-0.2028|-0.2028|-0.2028|-0.6491|-0.2027
AGNC|-0.0240|-0.0027|0.0000|6.5103|474.2760|-0.0240|-0.0240|-0.0240|-0.0241|-0.0241
AGNCM|-0.0240|-0.0027|0.0000|99999.0000|474.2760|-0.0240|-0.0240|-0.0240|0.0000|-0.0241
AGNCN|-0.0240|-0.0027|0.0000|99999.0000|474.2760|-0.0240|-0.0240|-0.0240|0.0000|-0.0241
AGNCO|-0.0240|-0.0027|0.0000|99999.0000|474.2760|-0.0240|-0.0240|-0.0240|0.0000|-0.0241
AGNCP|-0.0240|-0.0027|0.0000|99999.0000|474.2760|-0.0240|-0.0240|-0.0240|0.0000|-0.0241
AGO|0.0535|0.0185|0.2042|9.6317|19.1930|0.0426|0.0638|0.0638|0.0629|0.0647
AGR|0.0384|0.0147|0.8544|22.9320|56.4460|0.0056|0.0429|0.0429|-0.0069|0.0431
AGRO|-0.0390|0.0400|0.0000|-52.4286|125.1770|-0.0390|-0.0390|-0.0390|-1.0000|-0.0390
AGRX|-0.8212|-0.3896|0.0000|-4.8793|24.3640|-0.8212|-0.8212|-0.8212|-1.0000|-0.8212
AGS|-0.6989|-0.0209|0.0000|-3.9695|1020.4230|-0.6989|-0.6989|-0.6989|-1.0000|-0.6989
AGTC|-0.8004|-0.3672|0.0000|-1.8900|26.3250|-0.8004|-0.8004|-0.8004|-1.0000|-0.8004
AGX|0.0207|0.0047|0.0000|94.3612|0.9880|0.0207|0.0207|0.0207|-0.1538|0.0207
AGYS|-0.2219|0.0124|0.0000|50.9359|12.1080|-0.2219|-0.2219|-0.2219|-0.3177|-0.2219
AHAC|0.0000|0.0000|0.0000|99999.0000|1.7810|0.0000|0.0000|0.0000|-0.0338|0.0000
AHACU|0.0000|0.0000|0.0000|99999.0000|1.7810|0.0000|0.0000|0.0000|-0.0338|0.0000
AHC|-0.1183|-0.0431|0.0000|5.0000|49.8250|-0.1183|-0.1183|-0.1183|-0.1183|-0.1183
AHCO|0.0063|0.0420|0.0000|99999.0000|175.0780|0.0063|0.0063|0.0063|-0.5571|0.0063
AHH|0.0578|0.0151|1.1739|23.7961|128.0890|-0.0101|0.0393|0.0393|-0.0103|0.0388
AHPI|-0.2553|-0.0921|0.0000|99999.0000|41.2060|-0.2553|-0.2553|-0.2553|-0.0152|-0.2553
AHT|-4.3915|-0.0333|0.0000|-0.1717|0.0000|-4.3915|-4.3915|-4.3915|-1.0000|-4.3915
AI|0.0000|0.0000|0.0000|-170.1149|0.0000|0.0000|0.0000|0.0000|-1.0000|0.0000
AIF|-0.0707|0.0326|0.0000|13.7453|52.2980|-0.0707|-0.0707|-0.0707|-0.0821|-0.0707
AIG|-0.0757|0.0053|0.0000|8.8257|59.1840|-0.0757|-0.0757|-0.0757|-0.0757|-0.0757
AIH|-0.9016|-0.1204|0.0000|99999.0000|116.8000|-0.9016|-0.9016|-0.9016|-0.7812|-0.9016
AIHS|-1.5498|-0.3391|0.0000|99999.0000|339.2780|-1.5498|-1.5498|-1.5498|547.5936|-1.5498
AIKI|-0.6187|-0.2667|0.0000|99999.0000|0.0000|-0.6187|-0.6187|-0.6187|0.0000|-0.6187
AIMC|-0.0103|0.0336|0.0000|16.9469|80.9840|-0.0103|-0.0103|-0.0103|-0.0409|-0.0103
AIN|0.1404|0.0770|0.2452|23.5161|57.6600|0.1060|0.1164|0.1164|0.0544|0.1175
AINV|-0.0979|0.0445|0.0000|8.2500|158.8040|-0.0979|-0.0979|-0.0979|-0.0979|-0.0979
AIO|0.0000|0.0000|1.4772|99999.0000|0.0000|-0.0000|0.0000|0.0000|-0.5561|0.0000
AIR|-0.0131|0.0058|0.0000|16.6445|34.4070|-0.0131|-0.0131|-0.0131|-0.0420|-0.0131
AIRC|0.0000|0.0000|1.5728|99999.0000|0.0000|-0.0000|0.0000|0.0000|-0.5559|0.0000
AIRG|-0.0447|-0.0251|0.0000|86.3572|0.0000|-0.0447|-0.0447|-0.0447|0.0000|-0.0447
AIRT|-0.1021|0.0085|0.0000|99999.0000|390.4750|-0.1021|-0.1021|-0.1021|-0.6048|-0.1021
AIRTP|-0.1021|0.0085|0.0000|99999.0000|390.4750|-0.1021|-0.1021|-0.1021|-0.6048|-0.1021
AIT|0.0221|0.0584|2.4902|142.4951|98.4270|-0.0329|-0.0155|-0.0155|-0.1800|-0.0160
AIV|0.0828|0.0109|0.0000|3.7020|198.4490|0.0828|0.0828|0.0828|0.0828|0.0828
AIW|-0.1900|-0.0205|0.0000|99999.0000|297.4430|-0.1900|-0.1900|-0.1900|-0.6435|-0.1900
AIZ|0.0744|0.0115|0.3739|19.7748|33.8150|0.0466|0.0655|0.0655|0.0224|0.0664
AIZP|0.0744|0.0115|0.0000|18.6417|33.8150|0.0744|0.0744|0.0744|0.0322|0.0744
AJAX|0.0000|0.0000|0.0000|99999.0000|1375.0000|0.0000|0.0000|0.0000|-0.0338|0.0000
AJG|0.1511|0.0302|0.4461|28.8703|85.1470|0.0837|0.0991|0.0991|0.0229|0.1004
AJRD|0.2001|0.0454|0.0000|34.1868|94.1460|0.2001|0.2001|0.2001|0.0911|0.2001
AJX|0.0609|0.0163|1.1807|12.3636|226.8890|-0.0110|0.0845|0.0845|0.0763|0.0834
AKAM|0.1479|0.0615|0.0000|33.0636|65.9420|0.1479|0.1479|0.1479|0.0469|0.1479
AKBA|-0.9954|-0.1634|0.0000|-3.4949|33.1540|-0.9954|-0.9954|-0.9954|-1.0000|-0.9954
AKER|-0.8262|-0.4339|0.0000|19.9286|0.1910|-0.8262|-0.8262|-0.8262|0.0000|-0.8262
AKICU|0.0000|0.0000|0.0000|99999.0000|0.0000|0.0000|0.0000|0.0000|-0.0338|0.0000
AKR|-0.0088|0.0001|2.2308|59.4186|96.8970|0.0108|0.0483|0.0483|-0.0577|0.0487
AKRO|-0.3029|-0.1849|0.0000|-10.7388|0.6080|-0.3029|-0.3029|-0.3029|-1.0000|-0.3029
AKTS|-1.4377|-0.4064|0.0000|-37.4146|71.3510|-1.4377|-1.4377|-1.4377|-1.0000|-1.4377
AKTX|-4.4736|-0.9241|0.0000|-240.0000|0.0000|-4.4736|-4.4736|-4.4736|-1.0000|-4.4736
AKU|0.0137|0.0477|0.0000|99999.0000|360.0520|0.0137|0.0137|0.0137|-0.5539|0.0137
AKUS|0.0000|0.0000|0.0000|99999.0000|4.1680|0.0000|0.0000|0.0000|-0.0338|0.0000
AL|0.0997|0.0327|0.1230|8.6277|254.9620|0.0874|0.1017|0.1017|0.1016|0.1029
ALAC|0.1252|-0.0047|0.0000|3367.5000|58.9760|0.1252|0.1252|0.1252|-0.3260|0.1252
ALACU|0.1252|-0.0047|0.0000|4867.4995|58.9760|0.1252|0.1252|0.1252|-0.3482|0.1252
ALACW|0.1252|-0.0047|0.0000|302.5000|58.9760|0.1252|0.1252|0.1252|-0.1609|0.1252
ALB|0.1082|0.0426|0.4241|46.3426|85.0500|0.0623|0.0714|0.0714|-0.0443|0.0720
ALBO|-0.5766|-0.2194|0.0000|-4.3631|6.6360|-0.5766|-0.5766|-0.5766|-1.0000|-0.5766
ALC|-0.0377|-0.0080|0.0000|38.1354|23.9550|-0.0377|-0.0377|-0.0377|-0.1337|-0.0377
ALCO|0.1126|0.0112|0.1139|9.5190|68.0440|0.0998|0.1117|0.1117|0.1118|0.1129
ALDX|-0.6568|-0.2863|0.0000|-9.5470|21.7020|-0.6568|-0.6568|-0.6568|-1.0000|-0.6568
ALE|0.0730|0.0194|0.7155|18.3108|83.2720|0.0208|0.0598|0.0598|0.0259|0.0606
ALEC|-0.6376|-0.2211|0.0000|-5.8432|14.8270|-0.6376|-0.6376|-0.6376|-1.0000|-0.6376
ALEX|0.0094|0.0103|2.5333|122.0155|70.8400|-0.0144|0.0063|0.0063|-0.1488|0.0060
ALG|0.1005|0.0635|0.1039|29.0981|63.6080|0.0901|0.0937|0.0937|0.0110|0.0940
ALGM|0.0000|0.0000|0.0000|99999.0000|5.1930|0.0000|0.0000|0.0000|-0.0338|0.0000
ALGN|0.8012|0.0601|0.0000|24.4166|2.8410|0.8012|0.8012|0.8012|0.6885|0.8012
ALGS|0.0000|0.0000|0.0000|99999.0000|29.0780|0.0000|0.0000|0.0000|-0.0338|0.0000
ALGT|-0.1232|-0.0092|0.0000|87.7664|234.0220|-0.1232|-0.1232|-0.1232|-0.0005|-0.1232
ALIM|0.0000|0.0098|0.0000|-22.5667|0.0000|0.0000|0.0000|0.0000|-1.0000|0.0000
ALJJ|-1.3512|0.0008|0.0000|99999.0000|600.3690|-1.3512|-1.3512|-1.3512|25600.0000|-1.3512
ALK|-0.3563|-0.0791|0.0000|12.8931|168.1530|-0.3563|-0.3563|-0.3563|-0.0000|-0.3563
ALKS|-0.0684|-0.0269|0.0000|42.4000|35.5600|-0.0684|-0.0684|-0.0684|-0.1694|-0.0684
ALL|0.1770|0.0383|0.1494|7.6530|24.3370|0.1505|0.1700|0.1700|0.1711|0.1730
ALLE|0.3986|0.1155|0.3796|34.1093|184.3670|0.2473|0.2584|0.2584|0.1543|0.2612
ALLK|-0.2883|-0.1788|0.0000|-33.6277|1.9870|-0.2883|-0.2883|-0.2883|-1.0000|-0.2883
ALLO|-0.2792|-0.1652|0.0000|-14.0857|4.8020|-0.2792|-0.2792|-0.2792|-1.0000|-0.2792
ALLT|-0.0712|-0.0367|0.0000|216.0000|4.0030|-0.0712|-0.0712|-0.0712|-0.2859|-0.0712
ALLY|0.0746|0.0060|0.2639|13.3889|0.0000|0.0549|0.0746|0.0746|0.0644|0.0757
ALNA|-1.5654|-0.5467|0.0000|-2.1625|55.2120|-1.5654|-1.5654|-1.5654|-1.0000|-1.5654
ALNY|-0.6314|-0.1992|0.0000|-26.9113|27.1150|-0.6314|-0.6314|-0.6314|-1.0000|-0.6314
ALOT|-0.0124|-0.0019|0.0000|44.8800|26.5270|-0.0124|-0.0124|-0.0124|-0.1240|-0.0124
ALPN|-0.5423|-0.1674|0.0000|-14.7625|33.0010|-0.5423|-0.5423|-0.5423|-1.0000|-0.5423
ALRM|0.1880|0.0755|0.0000|65.0374|35.3950|0.1880|0.1880|0.1880|0.0188|0.1880
ALRN|-1.3265|-0.5262|0.0000|-3.7826|40.8730|-1.3265|-1.3265|-1.3265|-1.0000|-1.3265
ALRS|0.1451|0.0166|0.2542|10.2897|0.0000|0.1082|0.1329|0.1329|0.1334|0.1356
ALSK|0.0563|0.0294|0.0000|18.2222|145.6770|0.0563|0.0563|0.0563|0.0169|0.0563
ALSN|0.4647|0.0830|0.2200|14.5494|348.6590|0.3625|0.3776|0.3776|0.3592|0.3831
ALT|-0.3414|-0.1095|0.0000|-12.6887|0.9460|-0.3414|-0.3414|-0.3414|-1.0000|-0.3414
ALTA|0.1237|0.0151|0.2328|14.7293|0.0000|0.0949|0.1107|0.1107|0.0919|0.1122
ALTG|-0.5443|-0.0013|0.0000|99999.0000|385.8760|-0.5443|-0.5443|-0.5443|0.0000|-0.5443
ALTM|-0.8333|0.0176|0.0000|11.4879|63.5940|-0.8333|-0.8333|-0.8333|0.0000|-0.8333
ALTR|-0.0404|0.0055|0.0000|258.8637|69.7810|-0.0404|-0.0404|-0.0404|-0.0000|-0.0404
ALTUU|0.0000|0.0000|0.0000|99999.0000|1455.6430|0.0000|0.0000|0.0000|-0.0338|0.0000
ALUS|0.0000|0.0000|0.0000|99999.0000|0.0000|0.0000|0.0000|0.0000|-0.0338|0.0000
ALV|0.0828|0.0403|0.2897|42.4720|105.3200|0.0588|0.0657|0.0657|-0.0445|0.0661
ALVR|0.0000|0.0000|0.0000|99999.0000|2.5340|0.0000|0.0000|0.0000|-0.0338|0.0000
ALX|0.1612|0.0359|2.4291|37.2861|511.4370|-0.2304|-0.1653|-0.1653|-0.0000|-0.1803
ALXN|0.0892|0.1074|0.0000|36.5027|26.8230|0.0892|0.0892|0.0892|-0.0155|0.0892
ALXO|0.0000|0.0000|0.0000|99999.0000|2.2850|0.0000|0.0000|0.0000|-0.0338|0.0000
ALYA|-0.3461|-0.0385|0.0000|22.3636|58.6860|-0.3461|-0.3461|-0.3461|-0.0000|-0.3461
AM|-0.1144|0.0564|0.0000|9.0440|125.6020|-0.1144|-0.1144|-0.1144|-0.1144|-0.1144
AMAL|0.0880|0.0076|0.2254|10.2254|0.0000|0.0682|0.0902|0.0902|0.0898|0.0917
AMAT|0.3852|0.1350|0.2194|25.8036|53.9520|0.3007|0.3092|0.3092|0.2272|0.3117
AMBA|-0.1328|-0.0725|0.0000|181.9091|2.0470|-0.1328|-0.1328|-0.1328|-0.0000|-0.1328
AMBC|-0.3914|-0.0136|0.0000|-6.3064|803.8360|-0.3914|-0.3914|-0.3914|-1.0000|-0.3914
AMC|0.0000|-0.0492|0.0000|-1.3808|0.0000|0.0000|0.0000|0.0000|-1.0000|0.0000
AMCI|0.0000|0.0000|0.0000|99999.0000|46.6060|0.0000|0.0000|0.0000|-0.0338|0.0000
AMCIU|0.0000|0.0000|0.0000|99999.0000|46.6060|0.0000|0.0000|0.0000|-0.0338|0.0000
AMCR|0.1462|0.0479|0.9829|35.7189|148.5880|0.0025|0.0300|0.0300|-0.0520|0.0301
