ticker|returnOnEquity|returnOnAssets|payoutRatio|PE|debtToEquity|growthRate|ggmReturn|div10YReturn|rdpReturn
ASAP.BK|-0.1098|0.0104|0.0000|6.5926|761.1220|-0.1098|-0.1098|-0.1098|-0.1098|-0.1098
ASEFA.BK|0.0988|0.0496|0.7143|12.8114|0.1660|0.0282|0.0840|0.0840|0.0768|0.0856
ASIA.BK|-0.0236|-0.0050|0.0000|99999.0000|49.9200|-0.0236|-0.0236|-0.0236|0.0000|-0.0236
ASIAN.BK|0.2052|0.0751|0.1739|11.1304|64.9110|0.1695|0.1851|0.1851|0.1862|0.1878
ASIMAR.BK|0.0508|0.0337|0.5952|23.4884|42.7720|0.0206|0.0459|0.0459|-0.0085|0.0464
ASK.BK|0.1696|0.0216|0.6719|8.5770|671.1980|0.0556|0.1340|0.1340|0.1332|0.1383
ASN.BK|0.0687|0.0443|0.1174|36.7742|7.8860|0.0606|0.0638|0.0638|-0.0370|0.0640
ASP.BK|0.0802|0.0515|0.7222|12.0442|35.0110|0.0223|0.0822|0.0822|0.0791|0.0836
ATP30.BK|0.0726|0.0363|0.8333|25.2083|71.0260|0.0121|0.0452|0.0452|-0.0121|0.0456
AU.BK|0.0961|0.0596|2.6364|95.3271|38.5940|-0.1572|-0.1296|-0.1296|-0.0000|-0.1339
AUCT.BK|0.5355|0.1626|0.9773|24.8837|183.6350|0.0122|0.0514|0.0514|-0.0034|0.0519
AWC.BK|-0.0152|-0.0003|0.0000|99999.0000|62.5810|-0.0152|-0.0152|-0.0152|-0.0000|-0.0152
AYUD.BK|0.0140|0.0067|3.0612|61.1213|0.9240|-0.0288|0.0212|0.0212|-0.0754|0.0198
B.BK|-0.0622|-0.0206|0.0000|99999.0000|41.6180|-0.0622|-0.0622|-0.0622|-0.5873|-0.0623
B52.BK|-0.4601|-0.2665|0.0000|99999.0000|12.7110|-0.4601|-0.4601|-0.4601|0.0000|-0.4601
BA.BK|-0.1822|-0.0453|0.0000|28.4783|128.5270|-0.1822|-0.1822|-0.1822|-0.2440|-0.1822
BAFS.BK|-0.0175|0.0063|0.0000|99999.0000|160.4600|-0.0175|-0.0175|-0.0175|-0.0000|-0.0175
BAM.BK|0.0695|0.0231|1.1170|23.2481|217.7240|-0.0081|0.0399|0.0399|-0.0085|0.0395
BANPU.BK|-0.0208|-0.0042|0.0000|99999.0000|210.9630|-0.0208|-0.0208|-0.0208|-0.0000|-0.0208
BAT-3K.BK|0.0000|0.0000|0.0000|43.8161|0.0000|0.0000|0.0000|0.0000|-0.1111|0.0000
BAY.BK|0.0832|0.0094|0.1271|9.8180|0.0000|0.0726|0.0855|0.0855|0.0853|0.0865
BBL.BK|0.0404|0.0000|0.4191|12.7222|0.0000|0.0235|0.0564|0.0564|0.0499|0.0572
BC.BK|-0.4186|-0.0342|0.0000|99999.0000|259.3180|-0.4186|-0.4186|-0.4186|0.0000|-0.4186
BCH.BK|0.1939|0.0744|0.4792|30.1053|103.0760|0.1010|0.1169|0.1169|0.0365|0.1185
BCP.BK|-0.1069|-0.0214|0.0000|5.5116|131.4370|-0.1069|-0.1069|-0.1069|-0.1069|-0.1069
BCPG.BK|0.1320|0.0334|0.4706|14.6078|184.8150|0.0699|0.1021|0.1021|0.0853|0.1044
BCT.BK|0.0873|0.0245|0.2157|7.7718|0.0190|0.0684|0.0962|0.0962|0.0957|0.0981
BDMS.BK|0.0888|0.0407|0.6667|46.2222|33.7850|0.0296|0.0440|0.0440|-0.0646|0.0445
BEAUTY.BK|-0.0636|-0.0064|0.0000|3.4200|22.5540|-0.0636|-0.0636|-0.0636|-0.0636|-0.0636
BEC.BK|-0.1576|-0.0343|0.0000|196.2500|68.4550|-0.1576|-0.1576|-0.1576|-0.0002|-0.1576
BEM.BK|0.0513|0.0196|0.6429|60.9023|178.7150|0.0183|0.0289|0.0289|-0.1011|0.0291
BFIT.BK|0.1598|0.0747|0.6860|10.7143|0.0000|0.0502|0.1142|0.1142|0.1129|0.1174
BGC.BK|0.1195|0.0393|0.5262|12.3810|173.6090|0.0566|0.0991|0.0991|0.0957|0.1015
BGRIM.BK|0.1046|0.0362|0.5781|77.9781|200.1990|0.0441|0.0516|0.0516|-0.1025|0.0519
BGT.BK|-0.1376|-0.0298|0.0000|99999.0000|173.9990|-0.1376|-0.1376|-0.1376|-0.0000|-0.1376
BH.BK|0.1016|0.0600|1.4480|56.7873|13.8510|-0.0455|-0.0200|-0.0200|-0.1276|-0.0212
BIG.BK|0.0036|0.0050|10.0000|300.0000|46.9550|-0.0322|0.0011|0.0011|-0.1625|0.0000
