ticker|IRR|G|EPS|EPS_POS|EPS_N|DPR|PRICE
nasdaq:ADTN|-0.3934|-1.2204|-0.3998|5.0000|9.0000|0.1967|15.5100
nasdaq:ADTX|0.0000|0.2910|-33.9244|0.0000|9.0000|0.0000|0.9090
nasdaq:ADUS|0.0656|0.1517|2.6442|9.0000|9.0000|0.0000|107.5400
nasdaq:ADV|0.0000|0.3971|-2.4964|1.0000|9.0000|0.0000|1.6900
nasdaq:ADVM|0.0000|-0.0768|-1.1433|0.0000|9.0000|0.0000|0.6928
nasdaq:ADXN|0.0000|0.2288|-3.4600|0.0000|9.0000|0.0000|0.9937
nasdaq:AEHL|0.0000|-0.2336|-1.4256|0.0000|9.0000|0.0000|1.0300
nasdaq:AEHR|-0.1997|-0.3554|0.0764|3.0000|9.0000|0.0000|32.5500
nasdaq:AEI|0.0000|0.0393|-7.8613|0.0000|9.0000|0.0000|1.5600
nasdaq:AEIS|0.0972|0.1087|4.6540|9.0000|9.0000|0.0517|96.1700
nasdaq:AEMD|9.3794|-0.3801|6.0611|0.0000|9.0000|0.0000|0.3850
nasdaq:AEP|0.0984|0.0404|4.4676|9.0000|9.0000|0.7082|90.9000
nasdaq:AEY|0.0000|0.3044|-0.7979|4.0000|9.0000|0.0000|1.1380
nasdaq:AEYE|0.0000|-0.2116|-0.2422|0.0000|9.0000|0.0000|7.2400
nasdaq:AEZS|1.3706|-0.5063|7.0311|0.0000|9.0000|0.0000|1.8501
nasdaq:AFBI|0.3393|0.4793|0.7825|6.0000|9.0000|0.0000|14.2650
nasdaq:AFCG|0.5987|0.4598|1.3091|3.0000|9.0000|0.6889|11.9400
nasdaq:AFIB|0.0000|0.3183|-5.0840|0.0000|9.0000|0.0000|0.7750
nasdaq:AFMD|0.0000|0.0056|-0.6336|0.0000|9.0000|0.0000|0.7395
nasdaq:AFRI|0.0000|0.4500|-0.0093|0.0000|9.0000|0.0000|11.1200
nasdaq:AFRM|0.0000|0.4765|-1.9373|0.0000|9.0000|0.0000|11.2900
nasdaq:AFYA|0.3121|0.3936|0.7108|6.0000|9.0000|0.0000|10.6800
nasdaq:AGAE|0.0000|0.2053|-0.7689|0.0000|9.0000|0.0000|1.1900
nasdaq:AGBA|0.0000|0.0000|0.0000|1.0000|9.0000|0.0000|1.5300
nasdaq:AGEN|0.0000|-0.0452|-0.8558|0.0000|9.0000|0.0000|1.5700
nasdaq:AGFY|0.0000|0.3589|-7.5778|0.0000|9.0000|0.0000|0.1590
nasdaq:AGIL|0.0000|0.3412|-0.5360|1.0000|9.0000|0.0000|3.1100
nasdaq:AGIO|0.0000|0.0605|-5.5938|0.0000|9.0000|0.0000|22.7000
nasdaq:AGLE|0.9018|-0.2917|0.4789|0.0000|9.0000|0.0000|0.2850
nasdaq:AGMH|0.0390|-0.1611|0.3536|3.0000|9.0000|0.0000|2.2400
nasdaq:AGNC|0.0000|-0.7579|-0.6456|6.0000|9.0000|0.4667|9.9800
nasdaq:AGNCP|0.0000|-0.3326|-0.0591|2.0000|9.0000|-0.1111|25.6000
nasdaq:AGRI|0.0000|0.3836|-0.6420|0.0000|9.0000|0.0000|0.6959
nasdaq:AGRX|0.0000|0.2542|-15.8962|0.0000|9.0000|0.0000|0.2203
nasdaq:AGYS|0.0000|0.1372|-0.7262|1.0000|9.0000|0.0000|84.3600
nasdaq:AHCO|0.0000|-1.9219|0.0238|4.0000|9.0000|0.0000|12.5200
nasdaq:AHG|0.0000|2.0997|-0.9002|3.0000|9.0000|0.0350|0.3571
nasdaq:AHI|0.0000|0.3312|-0.5580|0.0000|9.0000|0.0000|0.3601
nasdaq:AIB|0.0872|0.6000|0.0208|1.0000|9.0000|0.0000|10.5000
nasdaq:AIH|0.0000|0.2777|-0.9180|1.0000|9.0000|0.0000|1.2000
nasdaq:AIHS|0.0000|0.2841|-2.2212|0.0000|9.0000|0.0000|0.9088
nasdaq:AIMD|-0.3271|-1.1761|-1.5764|1.0000|9.0000|0.0000|0.9000
nasdaq:AIP|0.0000|0.5455|-0.5444|1.0000|9.0000|0.0000|4.6700
nasdaq:AIRG|0.0000|0.4244|-0.5276|3.0000|9.0000|0.0000|5.6700
nasdaq:AIRS|0.0000|0.6000|-0.0982|0.0000|9.0000|0.0000|5.1700
nasdaq:AIRT|0.1746|0.2006|1.7282|6.0000|9.0000|-0.0778|25.5000
nasdaq:AIXI|0.0000|0.4500|-0.0964|1.0000|9.0000|0.0000|7.1000
nasdaq:AKAM|0.0769|0.0976|3.2878|9.0000|9.0000|0.0000|77.8800
nasdaq:AKAN|0.0000|0.3000|-0.6453|0.0000|9.0000|0.0000|0.9800
nasdaq:AKBA|0.0000|-0.1800|-0.8711|0.0000|9.0000|0.0000|0.5783
nasdaq:AKLI|0.0000|0.3033|-14.1507|0.0000|9.0000|0.0000|1.5700
nasdaq:AKRO|0.0000|0.2647|-4.0809|0.0000|9.0000|0.0000|38.1600
nasdaq:AKTS|0.0000|0.2179|-1.3108|0.0000|9.0000|0.0000|3.1000
nasdaq:AKTX|0.0000|-0.2191|-0.1996|0.0000|9.0000|0.0000|0.2035
nasdaq:AKYA|0.0000|0.4534|-1.5224|0.0000|9.0000|0.0000|8.0000
nasdaq:ALAR|0.0000|-0.1307|-514.6827|0.0000|9.0000|0.0000|1.8900
nasdaq:ALBT|0.0000|0.3259|-1.8120|1.0000|9.0000|0.0000|1.9500
nasdaq:ALCO|0.2785|0.1312|2.9940|8.0000|9.0000|0.3988|24.1300
nasdaq:ALDX|0.0000|-0.1082|-0.8960|0.0000|9.0000|0.0000|9.8300
nasdaq:ALEC|0.0000|0.2706|-2.0893|0.0000|9.0000|0.0000|6.2200
nasdaq:ALGM|0.1219|0.4248|0.4469|4.0000|9.0000|0.0000|47.8600
nasdaq:ALGN|0.1421|0.2405|12.1762|9.0000|9.0000|0.0000|327.3500
nasdaq:ALGS|0.0000|0.4342|-5.0993|0.0000|9.0000|0.0000|0.8920
nasdaq:ALGT|-0.1850|-0.2470|0.0853|8.0000|9.0000|0.0745|90.7500
nasdaq:ALHC|0.0000|0.4760|-0.6518|0.0000|9.0000|0.0000|6.7700
nasdaq:ALIM|0.4415|-0.3913|2.6944|1.0000|9.0000|0.0000|1.9900
nasdaq:ALIT|0.0000|0.5250|-0.0964|0.0000|9.0000|0.0000|9.0500
nasdaq:ALKS|0.0000|0.0209|-1.0991|0.0000|9.0000|0.0000|28.6700
nasdaq:ALKT|0.0000|0.3768|-0.6853|0.0000|9.0000|0.0000|12.5600
nasdaq:ALLK|0.0000|0.3414|-4.5549|0.0000|9.0000|0.0000|4.3900
nasdaq:ALLO|0.0000|0.2587|-3.4884|0.0000|9.0000|0.0000|5.0900
nasdaq:ALLR|0.0000|0.4265|-648.5933|0.0000|9.0000|0.0000|1.7500
nasdaq:ALLT|0.0000|0.1277|-0.5204|0.0000|9.0000|0.0000|2.7000
nasdaq:ALNY|0.0000|0.0973|-9.0196|0.0000|9.0000|0.0000|200.7000
nasdaq:ALOT|0.0381|0.0275|0.5316|9.0000|9.0000|0.0598|14.0000
nasdaq:ALPA|0.0141|0.6000|0.0038|1.0000|9.0000|0.0000|10.1500
nasdaq:ALPN|0.0000|0.1704|-2.1050|0.0000|9.0000|0.0000|8.0900
nasdaq:ALPP|0.0000|-0.0471|-0.0580|1.0000|9.0000|0.0000|0.4800
nasdaq:ALRM|0.1464|0.2864|1.4709|8.0000|9.0000|0.0000|49.3900
nasdaq:ALRN|2.1480|-0.3339|4.5449|0.0000|9.0000|0.0000|1.2200
nasdaq:ALRS|0.2938|0.1067|2.5411|9.0000|9.0000|0.2827|16.0900
nasdaq:ALT|0.2914|-0.2604|3.1780|0.0000|9.0000|0.0000|4.4200
nasdaq:ALTO|0.0000|0.2572|-0.7488|3.0000|9.0000|0.0000|1.5600
nasdaq:ALTR|0.0000|1.5798|-0.7644|4.0000|9.0000|-0.0678|71.2300
nasdaq:ALTU|0.4887|0.6000|0.7744|2.0000|9.0000|0.0000|10.1800
nasdaq:ALVO|0.0000|0.3237|-9.6436|0.0000|9.0000|0.0000|13.0600
nasdaq:ALVR|0.0000|0.4347|-2.3280|0.0000|9.0000|0.0000|3.9000
nasdaq:ALXO|0.0000|0.4178|-2.6651|0.0000|9.0000|0.0000|4.6100
nasdaq:ALZN|0.0000|0.3427|-0.0925|0.0000|9.0000|0.0000|0.4900
nasdaq:AMAL|0.4046|0.3092|2.2391|7.0000|9.0000|0.2082|18.2100
nasdaq:AMAM|0.0000|0.4971|-1.5311|0.0000|9.0000|0.0000|8.1000
nasdaq:AMAO|0.2849|0.6000|0.2342|2.0000|9.0000|0.0000|10.1506
nasdaq:AMAT|0.1988|0.2493|6.6058|9.0000|9.0000|0.1263|122.3200
nasdaq:AMBA|-0.3883|-1.3677|-1.3860|5.0000|9.0000|0.0000|75.9200
nasdaq:AMCX|0.2230|-0.0319|4.3898|9.0000|9.0000|0.0000|17.2100
nasdaq:AMD|0.3306|0.7410|1.8081|5.0000|9.0000|0.0000|96.5600
nasdaq:AMED|0.2253|0.2435|5.6278|8.0000|9.0000|0.0000|75.1700
