ticker|IRR|G|EPS|EPS_POS|EPS_N|DPR|PRICE
bkk:AYUD|-0.0317|-0.1504|1.0698|9.0000|9.0000|0.9964|39.5000
bkk:B|-0.0979|-0.4970|0.1240|2.0000|9.0000|0.0000|0.2900
bkk:B52|0.0000|-0.1458|-0.1171|0.0000|9.0000|0.0000|2.0200
bkk:BA|0.0000|0.7254|-2.2500|6.0000|9.0000|-0.0213|13.6000
bkk:BAFS|0.0000|-0.4044|-0.4831|6.0000|9.0000|0.1061|32.0000
bkk:BAM|0.0309|-0.1045|0.8098|9.0000|9.0000|0.7331|13.6000
bkk:BANPU|0.3762|0.2488|1.7792|6.0000|9.0000|-0.0096|11.0000
bkk:BAY|0.2123|0.0664|4.0804|9.0000|9.0000|0.1567|29.2500
bkk:BBGI|0.3775|0.3023|0.4897|6.0000|9.0000|0.6889|5.8500
bkk:BBIK|0.1311|0.4198|0.9467|5.0000|9.0000|0.3558|112.0000
bkk:BBL|0.0637|-0.0502|13.1067|9.0000|9.0000|0.1773|154.5000
bkk:BC|0.0000|0.8050|-0.2902|3.0000|9.0000|0.1111|1.5000
bkk:BCH|0.2102|0.2267|1.0360|9.0000|9.0000|0.5316|20.6000
bkk:BCP|0.4515|0.2058|6.5616|8.0000|9.0000|0.2047|32.0000
bkk:BCPG|0.1003|-0.0347|0.8553|9.0000|9.0000|0.5736|10.1000
bkk:BCT|0.3639|0.1545|11.6149|9.0000|9.0000|0.0840|58.0000
bkk:BDMS|0.0316|0.0272|0.6309|9.0000|9.0000|0.8678|30.5000
bkk:BE8|0.1599|0.4600|0.5680|4.0000|9.0000|0.3355|57.0000
bkk:BEAUTY|-0.0764|-0.1886|0.0290|6.0000|9.0000|0.0443|1.2200
bkk:BEC|0.0000|-0.4290|-0.3987|6.0000|9.0000|0.1592|8.6000
bkk:BEM|-0.0084|-0.0379|0.1716|9.0000|9.0000|0.6208|8.9500
bkk:BEYOND|0.0000|-0.9581|-1.2504|5.0000|9.0000|-0.0352|15.1000
bkk:BGC|0.3849|0.2875|0.8862|6.0000|9.0000|0.6932|9.7500
bkk:BGRIM|-0.0398|-0.0416|0.4089|8.0000|9.0000|0.4387|38.5000
bkk:BGT|0.0000|0.2796|-0.0553|3.0000|9.0000|0.0024|1.1500
bkk:BH|-0.0032|-0.0147|3.5447|9.0000|9.0000|0.8253|227.0000
bkk:BIG|0.0103|-0.1194|0.0517|8.0000|9.0000|0.1167|0.7000
